# Model: CvmOnlyNet (Backbone: ResNet-50), Loss: FocalLoss (gamma=2.0, weighted)
epoch,train_loss,valid_loss,cvm_accuracy,cvm_f1
1,1.3534,1.7296,0.3214,0.1267
2,1.3733,1.7409,0.1214,0.0893
3,1.2610,1.9174,0.3357,0.0838
4,1.2416,3.1617,0.3500,0.1164
5,1.1472,1.6505,0.0857,0.0534
6,1.1353,1.7898,0.0643,0.0440
7,1.1037,1.4802,0.3143,0.1633
8,1.0196,2.2207,0.3286,0.1641
9,1.0487,2.4790,0.0714,0.0224
10,0.9407,2.7925,0.3571,0.1961
11,1.0488,2.6291,0.2071,0.1050
12,0.9218,2.3633,0.1429,0.1121
13,0.7943,1.4732,0.1643,0.1368
14,0.7771,3.1763,0.4143,0.1541
15,0.8288,3.2576,0.3786,0.1639
16,0.8288,2.0943,0.3143,0.1793
17,0.7764,2.4929,0.1143,0.1235
18,0.7906,2.7195,0.3429,0.1968
19,0.8286,1.5197,0.3143,0.1998
20,0.7378,1.7334,0.4000,0.2573
21,0.6670,1.7409,0.3286,0.2147
22,0.6659,1.6856,0.2786,0.1990
23,0.6562,1.8837,0.3429,0.2314
24,0.5634,1.8463,0.3214,0.2078
25,0.5747,1.9451,0.3429,0.2095
26,0.5668,1.8704,0.3071,0.1853
27,0.5746,1.8658,0.3214,0.1958
28,0.5352,1.9055,0.3000,0.1992
29,0.5275,1.9043,0.3071,0.1867
30,0.5166,1.9332,0.3286,0.1985
31,0.5359,1.8965,0.3143,0.2086
32,0.5264,1.9247,0.3357,0.2185
33,0.5269,1.9226,0.3071,0.1872
34,0.5252,1.8753,0.3286,0.1971
35,0.5042,1.9178,0.3357,0.2211
36,0.5141,1.9009,0.2929,0.1831
37,0.5542,1.9336,0.3000,0.1809
38,0.5195,1.9304,0.3429,0.2071
39,0.5175,1.9990,0.3000,0.1835
40,0.5396,1.9799,0.3143,0.1941
41,0.5341,1.9310,0.3071,0.1873
42,0.5106,1.9901,0.3071,0.1880
43,0.5590,1.9859,0.3357,0.2024
