# Model: CvmOnlyNet (Backbone: ResNet-50), Loss: FocalLoss (gamma=2.0, weighted)
epoch,train_loss,valid_loss,cvm_accuracy,cvm_f1
1,1.3846,2.0292,0.2214,0.0841
2,1.3059,1.5723,0.2857,0.1545
3,1.2775,1.8862,0.2857,0.1404
4,1.2570,1.5236,0.1714,0.1373
5,1.1920,1.3630,0.0929,0.1025
6,1.0908,1.6115,0.2500,0.1494
7,1.1717,1.7915,0.1857,0.1013
8,0.9409,1.4241,0.2571,0.1766
9,1.0553,1.5173,0.2857,0.1520
10,1.0061,2.0968,0.0714,0.0222
11,0.9609,2.4034,0.2214,0.1038
12,0.7818,1.8852,0.2071,0.1294
13,0.8180,1.8669,0.2643,0.1606
14,0.7260,1.9523,0.2286,0.1274
15,0.6722,1.8672,0.1929,0.1061
16,0.7273,1.8862,0.2714,0.1467
17,0.6807,1.8590,0.2571,0.1410
18,0.6353,1.9095,0.2500,0.1362
19,0.6622,1.9590,0.2786,0.1506
20,0.6417,1.9247,0.2643,0.1449
21,0.7273,1.9451,0.2500,0.1370
22,0.6847,1.9894,0.2786,0.1521
23,0.6158,1.9597,0.2500,0.1371
24,0.6583,1.9558,0.2786,0.1502
25,0.6737,1.9659,0.2500,0.1367
26,0.6034,1.9722,0.2571,0.1418
27,0.6623,2.0403,0.3214,0.1674
28,0.6381,1.9574,0.2571,0.1420
29,0.6298,1.9750,0.2571,0.1412
30,0.5923,1.9473,0.2857,0.1535
31,0.6922,1.9720,0.3000,0.1587
32,0.6176,1.9685,0.3071,0.1622
33,0.6117,1.9941,0.3143,0.1648
34,0.6454,2.0031,0.3286,0.1712
35,0.6403,2.0355,0.3214,0.1679
