# Model: CvmOnlyNet (Backbone: ResNet-50), Loss: FocalLoss (gamma=2.0, weighted)
epoch,train_loss,valid_loss,cvm_accuracy,cvm_f1
1,1.3004,1.3321,0.1786,0.1267
2,1.2457,1.3252,0.0929,0.0487
3,1.2224,1.3936,0.0786,0.0503
4,1.1881,1.4048,0.0714,0.0224
5,1.1531,1.4098,0.0714,0.0224
6,1.1126,1.4623,0.0714,0.0222
7,1.1622,1.4856,0.0714,0.0227
8,1.1101,1.3622,0.1214,0.0636
9,1.0741,1.4015,0.1143,0.0582
10,1.0765,1.4065,0.1071,0.0525
11,1.1053,1.4246,0.1000,0.0467
12,1.0991,1.4872,0.0786,0.0287
13,1.0936,1.4636,0.0786,0.0287
14,1.0673,1.5064,0.0786,0.0284
15,1.0851,1.4752,0.0786,0.0289
16,1.0663,1.4752,0.0786,0.0289
17,1.0550,1.4618,0.0786,0.0289
18,1.0917,1.4635,0.0786,0.0287
19,1.0659,1.4831,0.0929,0.0417
20,1.0251,1.5260,0.0786,0.0284
21,1.0888,1.5056,0.0786,0.0289
22,1.0407,1.5001,0.0857,0.0351
23,1.0557,1.5354,0.0786,0.0285
24,1.0034,1.5260,0.0786,0.0284
25,1.0295,1.5324,0.0786,0.0285
26,1.0031,1.5499,0.0786,0.0284
27,1.0481,1.5499,0.0714,0.0231
28,1.0203,1.5427,0.0786,0.0284
29,1.0269,1.5886,0.0786,0.0285
30,1.0303,1.5532,0.0786,0.0287
31,0.9926,1.5206,0.0857,0.0352
32,1.0236,1.5067,0.0929,0.0413
