# Model: CvmOnlyNet (Backbone: ResNet-18), Loss: FocalLoss (gamma=2.0, weighted)
epoch,train_loss,valid_loss,cvm_accuracy,cvm_f1
1,1.8873,2.2882,0.1571,0.1124
2,1.6133,13.2329,0.0357,0.0319
3,1.4459,1.3988,0.0786,0.0466
4,1.3836,1.4185,0.0214,0.0133
5,1.5719,1.3753,0.4357,0.1283
6,1.3855,1.3952,0.0500,0.0159
7,1.3127,1.3830,0.1286,0.0890
8,1.3060,1.4037,0.0286,0.0093
9,1.3907,2.6893,0.0857,0.0575
10,1.3141,1.9405,0.3857,0.1479
11,1.2658,2.1000,0.0643,0.0335
12,1.2847,2.2981,0.0643,0.0327
13,1.2471,1.5255,0.0571,0.0314
14,1.2326,1.5569,0.0571,0.0313
15,1.2494,1.5552,0.0571,0.0311
16,1.2840,1.4510,0.0643,0.0335
17,1.2465,1.4437,0.0643,0.0338
18,1.2410,1.4403,0.0571,0.0319
19,1.2356,1.4668,0.0643,0.0344
20,1.2398,1.3983,0.0571,0.0310
