# Model: HeatmapModel (512px), Loss: MSELoss, Fine-tuned
epoch,train_loss,valid_mre,learning_rate
1,0.000543,11.7311,0.0001
2,0.000442,9.8645,0.0001
3,0.000409,8.9495,0.0001
4,0.000377,8.3321,0.0001
5,0.000360,8.2539,0.0001
6,0.000348,8.0691,0.0001
7,0.000331,7.8916,0.0001
8,0.000322,7.7170,0.0001
9,0.000315,7.5831,0.0001
10,0.000304,7.6279,0.0001
11,0.000302,7.4570,0.0001
12,0.000296,7.3600,0.0001
13,0.000293,7.2495,0.0001
14,0.000285,7.4472,0.0001
15,0.000282,7.1861,0.0001
16,0.000263,6.8246,1e-05
17,0.000248,6.6008,1e-05
18,0.000240,6.4759,1e-05
19,0.000232,6.4115,1e-05
20,0.000227,6.4039,1e-05
21,0.000220,6.3359,1e-05
22,0.000219,6.2352,1e-05
23,0.000214,6.2844,1e-05
24,0.000210,6.3434,1e-05
25,0.000207,6.2078,1e-05
26,0.000205,6.2514,1e-05
27,0.000202,6.2637,1e-05
28,0.000196,6.1140,1e-05
29,0.000194,6.0997,1e-05
30,0.000193,6.0816,1e-05
31,0.000192,6.0855,1e-05
32,0.000188,6.1063,1e-05
33,0.000185,5.8889,1e-05
34,0.000184,5.9328,1e-05
35,0.000182,6.0004,1e-05
36,0.000182,6.0658,1e-05
37,0.000178,5.8417,1e-05
38,0.000175,5.9572,1e-05
39,0.000175,5.9662,1e-05
40,0.000174,5.8122,1e-05
41,0.000170,5.8732,1e-05
42,0.000171,5.8985,1e-05
43,0.000168,5.7136,1e-05
44,0.000167,5.7871,1e-05
45,0.000166,5.8011,1e-05
46,0.000164,5.6586,1e-05
47,0.000163,5.8461,1e-05
48,0.000160,5.7169,1e-05
49,0.000160,5.6745,1e-05
50,0.000158,5.6241,1e-05
51,0.000157,5.7223,1e-05
52,0.000157,5.6542,1e-05
53,0.000156,5.6205,1e-05
54,0.000155,5.6855,1e-05
55,0.000152,5.6805,1e-05
56,0.000151,5.7057,1e-05
57,0.000151,5.6049,1e-05
58,0.000150,5.5843,1e-05
59,0.000151,5.5880,1e-05
60,0.000147,5.4036,1e-05
61,0.000148,5.5080,1e-05
62,0.000144,5.5743,1e-05
63,0.000145,5.5197,1e-05
64,0.000144,5.5886,1e-05
65,0.000143,5.6006,1e-05
66,0.000144,5.4695,1e-05
67,0.000140,5.4793,2.0000000000000003e-06
68,0.000139,5.5074,2.0000000000000003e-06
69,0.000138,5.5040,2.0000000000000003e-06
70,0.000139,5.4733,2.0000000000000003e-06
71,0.000138,5.4702,2.0000000000000003e-06
72,0.000139,5.5373,2.0000000000000003e-06
73,0.000138,5.5045,4.000000000000001e-07
74,0.000138,5.4755,4.000000000000001e-07
75,0.000138,5.4548,4.000000000000001e-07
76,0.000139,5.4706,4.000000000000001e-07
77,0.000137,5.4738,4.000000000000001e-07
78,0.000138,5.4719,4.000000000000001e-07
79,0.000137,5.4595,8.000000000000003e-08
80,0.000136,5.4313,8.000000000000003e-08
